name,category,email,url,location,phone,status,email_file
Siam DMC,Leisure & Experience DMCs,b2b@siamdmc.com,https://www.siamdmc.com/,Bangkok,+66 2 138 9811,READY,Siam_DMC.txt
Eagle Crest DMC,Leisure & Experience DMCs,sales@eaglecrestdmc.com,https://www.eaglecrestdmc.com/thailand-dmc,Bangkok,+66 2 115 9559,READY,Eagle_Crest_DMC.txt
Discovery DMC,Leisure & Experience DMCs,sales@discoverydmc.com,https://discoverydmc.com/,Bangkok,+66 2 001 1234,READY,Discovery_DMC.txt
Ovation DMC Thailand,Leisure & Experience DMCs,info@ovationdmc.com,https://ovationdmc.com/destinations/thailand/,Bangkok,0719883969,READY,Ovation_DMC_Thailand.txt
Diethelm Travel,Leisure & Experience DMCs,,https://www.diethelmtravel.com/,Bangkok,,NEEDS_EMAIL,Diethelm_Travel.txt
Exo Travel Thailand,Leisure & Experience DMCs,,https://www.exotravel.com/,Bangkok,+66 2 038 4300,NEEDS_EMAIL,Exo_Travel_Thailand.txt
Khiri Travel,Leisure & Experience DMCs,sales.cambodia@khiri.com,https://www.khiri.com/,Bangkok,+66 2 512 0405,READY,Khiri_Travel.txt
Pacific World Thailand,Leisure & Experience DMCs,,https://www.pacificworld.com/,Bangkok,,NEEDS_EMAIL,Pacific_World_Thailand.txt
Destination Asia Thailand,Leisure & Experience DMCs,,https://www.destination-asia.com/,Bangkok,+66 2 127 5888,NEEDS_EMAIL,Destination_Asia_Thailand.txt
Buffalo Tours Thailand,Leisure & Experience DMCs,pham.hoa@discova.com,https://www.buffalotours.com/,Bangkok,058775-2187,READY,Buffalo_Tours_Thailand.txt
Smiling Albino,Leisure & Experience DMCs,info@smilingalbino.com,https://smilingalbino.com/,Bangkok,+66 2 107 2540,READY,Smiling_Albino.txt
Selective Asia,Leisure & Experience DMCs,,https://www.selectiveasia.com/,Bangkok,01273 670,NEEDS_EMAIL,Selective_Asia.txt
Backyard Travel,Leisure & Experience DMCs,,https://www.backyardtravel.com/,Bangkok,,NEEDS_EMAIL,Backyard_Travel.txt
Abercrombie & Kent Thailand,Leisure & Experience DMCs,privacy@abercrombiekent.com,https://www.abercrombiekent.com/,Bangkok,04-5879-4088,READY,Abercrombie_Kent_Thailand.txt
Intrepid Travel Thailand,Leisure & Experience DMCs,,https://www.intrepidtravel.com/,"Bangkok, Chiang Mai",0311720394,NEEDS_EMAIL,Intrepid_Travel_Thailand.txt
Myths and Mountains,Leisure & Experience DMCs,,https://www.mythsandmountains.com/,Bangkok,0638344373,NEEDS_EMAIL,Myths_and_Mountains.txt
Sawasdee Thailand,Leisure & Experience DMCs,support@tahug.com,https://www.sawasdee.com/,Bangkok,02050376,READY,Sawasdee_Thailand.txt
Thailand Packages,Leisure & Experience DMCs,,https://www.thailandpackages.com/,Bangkok,,NEEDS_EMAIL,Thailand_Packages.txt
Mekong Tourism,Leisure & Experience DMCs,info@mekongtourism-mtco.org,https://mekongtourism.org/,Bangkok,0906483767,READY,Mekong_Tourism.txt
Raya Heritage Cruises,Leisure & Experience DMCs,reservation@rayaheritage.com,https://www.rayaheritage.com/,Chiang Mai,+66 2 301 1861,READY,Raya_Heritage_Cruises.txt
Absolute Travel Thailand,Leisure & Experience DMCs,,https://www.absolutetravel.com/,Bangkok,,NEEDS_EMAIL,Absolute_Travel_Thailand.txt
Gecko Travel Thailand,Leisure & Experience DMCs,,https://www.geckosadventures.com/,Bangkok,0324455232,NEEDS_EMAIL,Gecko_Travel_Thailand.txt
Thai Travel Center,Leisure & Experience DMCs,rsvn@thaitravelcenter.com,https://www.thaitravelcenter.com/,Bangkok,02-308-8383,READY,Thai_Travel_Center.txt
Siam Express,Leisure & Experience DMCs,info@siamexpress.com,https://www.siamexpress.com/,Bangkok,+66 2 632 9999,READY,Siam_Express.txt
Bamboo Travel,Leisure & Experience DMCs,info@bambootravel.co.uk,https://www.bambootravel.co.uk/,Bangkok,020 7720 9285,READY,Bamboo_Travel.txt
Local Alike,Leisure & Experience DMCs,booking@localalike.com,https://localalike.com/,Bangkok,+66-64-559-8636,READY,Local_Alike.txt
Trafalgar Thailand,Leisure & Experience DMCs,globalguestrelations@ttc.com,https://www.trafalgar.com/,Bangkok,017 305 2605,READY,Trafalgar_Thailand.txt
G Adventures Thailand,Leisure & Experience DMCs,,https://www.gadventures.com/,Bangkok,0640005192,NEEDS_EMAIL,G_Adventures_Thailand.txt
Wendy Wu Tours,Leisure & Experience DMCs,WendyWuTours@us-sales.com,https://www.wendywutours.com/,Bangkok,08-152157,READY,Wendy_Wu_Tours.txt
Audley Travel Thailand,Leisure & Experience DMCs,info@audleytravel.com,https://www.audleytravel.com/,Bangkok,01993 838,READY,Audley_Travel_Thailand.txt
Rickshaw Travel Thailand,Leisure & Experience DMCs,hello@rickshawtravel.co.uk,https://www.rickshawtravel.co.uk/,Bangkok,01273 322,READY,Rickshaw_Travel_Thailand.txt
Aman Tours Thailand,Leisure & Experience DMCs,,https://www.amantours.com/,Bangkok,04 958 271,NEEDS_EMAIL,Aman_Tours_Thailand.txt
Travelfish Thailand,Leisure & Experience DMCs,,https://www.travelfish.org/,Bangkok,07 758 985,NEEDS_EMAIL,Travelfish_Thailand.txt
Chiangmai Trekking,Leisure & Experience DMCs,,https://www.chiangmaitrekking.com/,Chiang Mai,03-893-0552,NEEDS_EMAIL,Chiangmai_Trekking.txt
Thai Private Tour Guide,Leisure & Experience DMCs,,https://www.thaiprivatetourguide.com/,Bangkok,0790959874,NEEDS_EMAIL,Thai_Private_Tour_Guide.txt
Let's Go Thailand,Leisure & Experience DMCs,,https://www.letsgothailand.com/,Bangkok,03-893-0552,NEEDS_EMAIL,Lets_Go_Thailand.txt
Siam Society Tours,Leisure & Experience DMCs,,https://www.siamsociety.com/,Bangkok,,NEEDS_EMAIL,Siam_Society_Tours.txt
Take Me Tour,Leisure & Experience DMCs,support@takemetour.com,https://takemetour.com/,Bangkok,0879644544,READY,Take_Me_Tour.txt
WithLocals Thailand,Leisure & Experience DMCs,info@withlocals.com,https://www.withlocals.com/,"Bangkok, Chiang Mai",06-8235-4606,READY,WithLocals_Thailand.txt
Tourscanner Thailand,Leisure & Experience DMCs,hello@tourscanner.com,https://tourscanner.com/,Bangkok,0282990241,READY,Tourscanner_Thailand.txt
GetYourGuide Thailand,Leisure & Experience DMCs,do-not-reply@getyourguide.com,https://www.getyourguide.com/,Bangkok,0983151431,READY,GetYourGuide_Thailand.txt
Viator Thailand,Leisure & Experience DMCs,,https://www.viator.com/,Bangkok,,NEEDS_EMAIL,Viator_Thailand.txt
Efficient Tourism,Leisure & Experience DMCs,,https://dmcfinder.com/listing/dubai-visa-from-thailand/,Dubai,,NEEDS_EMAIL,Efficient_Tourism.txt
