category,name,url,location,description,type,source,phone,email,address
Adventure & Outdoor Operators,Active Thailand,https://active-thailand.com/,Chiang Mai,Cultural and nature adventures since 1991,,,+66816812400,filler@godaddy.com,
Adventure & Outdoor Operators,Flight of the Gibbon,https://www.treetopasia.com/,"Chiang Mai, Pattaya",Asia's first zipline jungle canopy experience,,,,,
Adventure & Outdoor Operators,Elephant Nature Park,https://www.elephantnaturepark.org/,Chiang Mai,Ethical elephant sanctuary and rescue,,,,,
Adventure & Outdoor Operators,Sea Canoe Thailand,https://www.seacanoe.net/,Phuket,Original sea kayaking tours in Phang Nga Bay,,,,,
Adventure & Outdoor Operators,Dive The World Thailand,https://www.dive-the-world.com/,"Phuket, Koh Tao",Diving holiday specialist across Thailand,,,,ask@dive-the-world.com,
Adventure & Outdoor Operators,Ban's Diving Resort,https://www.bansdivingresort.com/,Koh Tao,Largest dive school in Southeast Asia,,,,,
Adventure & Outdoor Operators,SSS Phuket Diving,https://www.sssphuket.com/,Phuket,PADI dive center in Phuket,,,,info@sssphuket.com,
Adventure & Outdoor Operators,Similan Diving Safaris,https://www.similan-diving-safaris.com/,Phuket,Liveaboard diving in Similan Islands,,,+66 76 485 470,info@similan-diving-safaris.com,
Adventure & Outdoor Operators,Rock Climbing Railay,https://www.railayadventure.com/,Krabi,World-class rock climbing in Railay Beach,,,,info@railayadventure.com,
Adventure & Outdoor Operators,Basecamp Tonsai,https://www.basecamptonsai.com/,Krabi,Climbing courses and multi-pitch adventures,,,,,
Adventure & Outdoor Operators,Thai Adventures,https://www.thaiadventures.com/,Multiple,Multi-sport adventure travel operator,,,03-893-0552,,
Adventure & Outdoor Operators,Jungle Flight Chiang Mai,https://www.jungleflight.com/,Chiang Mai,Zipline adventure through old-growth rainforest,,,03-893-0552,,
Adventure & Outdoor Operators,Paddle Asia,https://www.paddleasia.com/,Phuket,Sea kayaking and stand-up paddleboarding,,,+66 81 8936558,,
Adventure & Outdoor Operators,Sail in Asia,https://www.sailinasia.com/,Phuket,Sailing experiences and yacht charters,,,+66 87 281 0458,ceo@sailinasia.com,
Adventure & Outdoor Operators,John Gray's Sea Canoe,https://www.johngray-seacanoe.com/,Phuket,Original Phang Nga Bay sea canoe tours,,,0631243404,reservations@johngray-seacanoe.com,
Adventure & Outdoor Operators,Phuket Surf,https://www.phuketsurfing.com/,Phuket,Surfing lessons and board rental,,,,,
Adventure & Outdoor Operators,Skydive Thailand,https://www.skydivethailand.com/,Pattaya,Tandem skydiving experiences,,,,,
Adventure & Outdoor Operators,Pooh Eco Trekking,https://www.pooh-ecotrekking.com/,Chiang Mai,Sustainable jungle and hill tribe treks,,,,info@pooh-eco-trekking.com,
Adventure & Outdoor Operators,Khao Sok Discovery,https://www.khaosokdiscovery.com/,Surat Thani,National park tours and lake adventures,,,,khaosoktravel@gmail.com,
Adventure & Outdoor Operators,Our Jungle Camp,https://www.ourjunglecamp.com/,Khao Sok,Treehouse resort and jungle experiences,,,,,
Adventure & Outdoor Operators,Elephant Hills,https://www.elephanthills.com/,Khao Sok,Luxury tented jungle camps and ethical elephant experiences,,,+66 5200 1186,booking@elephanthills.com,
Adventure & Outdoor Operators,Anurak Community Lodge,https://www.anuraklodge.com/,Khao Sok,Community-based eco-lodge and tours,,,+6681 898 9271,,
Adventure & Outdoor Operators,Pimalai Excursions,https://www.pimalai.com/,Koh Lanta,Resort-based island and sea excursions,,,+66 2 320 5500,,
Adventure & Outdoor Operators,Koh Tao Divers,https://www.kohtaodivers.com/,Koh Tao,PADI diving courses and fun dives,,,,info@kohtaodivers.com,
Adventure & Outdoor Operators,Crystal Dive Koh Tao,https://www.crystaldive.com/,Koh Tao,Award-winning PADI 5-star dive center,,,,contact@crystaldive.com,
Adventure & Outdoor Operators,Samui Kayak Adventures,https://www.samuikayaks.com/,Koh Samui,Kayaking and snorkeling excursions,,,,,
Adventure & Outdoor Operators,Blue Stars Kayaking,https://www.bluestars.info/,Koh Samui,Multi-day sea kayaking adventures,,,,,
