category,name,url,location,description,type,source,phone,email,address
Cinema & Entertainment,Embassy Diplomat Screens,https://embassycineplex.com,"6th Floor, Central Embassy, 1031 Phloen Chit Rd, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 2 160 5999,contact@embassycineplex.com,"6th Floor, Central Embassy, 1031 Phloen Chit Rd, Pathum Wan, Bangkok 10330"
Cinema & Entertainment,House Samyan,https://housesamyan.com,"5th Floor, Samyan Mitrtown, 944/1 Rama IV Rd, Wang Mai, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 98 869 0997,house.cinema.thai@gmail.com,"5th Floor, Samyan Mitrtown, 944/1 Rama IV Rd, Wang Mai, Pathum Wan, Bangkok 10330"
Cinema & Entertainment,Foundation Cinema Oasis,https://cinemaoasis.com,"4 Soi Sukhumvit 43, Khlong Tan Nuea, Watthana, Bangkok 10110",,,xlsx-tirak-vendors,+66 96 054 0939,cinemaoasis.bk@gmail.com,"4 Soi Sukhumvit 43, Khlong Tan Nuea, Watthana, Bangkok 10110"
Cinema & Entertainment,Lido Connect,https://lidoconnect.com,"256 Rama I Rd, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 64 181 4567,info@lidoconnect.com,"256 Rama I Rd, Pathum Wan, Bangkok 10330"
Cinema & Entertainment,Paragon Cineplex (Major Cineplex Group),https://majorcineplex.com,"5th Floor, Siam Paragon, 991 Rama I Rd, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 2 129 4635,info@majorcineplex.com,"5th Floor, Siam Paragon, 991 Rama I Rd, Pathum Wan, Bangkok 10330"
Cinema & Entertainment,Emprivé Cineclub (SF Group),https://sfcinemacity.com,"5th Floor, The Emporium, 622 Sukhumvit Rd, Khlong Toei, Bangkok 10110",,,xlsx-tirak-vendors,+66 2 268 8888,contact@sfcinemacity.com,"5th Floor, The Emporium, 622 Sukhumvit Rd, Khlong Toei, Bangkok 10110"
Cinema & Entertainment,Cinematique,https://hotelcinematique.com,"1112/91-93 Soi Sukhumvit Plus, Phra Khanong, Khlong Toei, Bangkok 10110",,,xlsx-tirak-vendors,+66 61 242 4567,info@hotelcinematique.com,"1112/91-93 Soi Sukhumvit Plus, Phra Khanong, Khlong Toei, Bangkok 10110"
Cinema & Entertainment,The Friese-Greene Club,https://fgc.in.th,"259/6 Sukhumvit Soi 22, Khlong Toei, Bangkok 10110",,,xlsx-tirak-vendors,+66 87 000 0795,info@fgc.in.th,"259/6 Sukhumvit Soi 22, Khlong Toei, Bangkok 10110"
Cinema & Entertainment,ICON CINECONIC (Major Cineplex),https://majorcineplex.com,"6th Floor, ICONSIAM, 299 Charoen Nakhon Rd, Khlong San, Bangkok 10600",,,xlsx-tirak-vendors,+66 2 288 0100,ir@majorcineplex.com,"6th Floor, ICONSIAM, 299 Charoen Nakhon Rd, Khlong San, Bangkok 10600"
Cinema & Entertainment,SF World Cinema,https://sfcinemacity.com,"7th Floor, CentralWorld, 999/9 Rama I Rd, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 2 268 8888,info@sfcinemacity.com,"7th Floor, CentralWorld, 999/9 Rama I Rd, Pathum Wan, Bangkok 10330"
Cinema & Entertainment,Zero Latency Bangkok,https://www.zerolatencyvr.com/,Bangkok,Free-roam VR experiences for groups,,pipeline-curated,,,
Cinema & Entertainment,Dream World Bangkok,https://www.dreamworld.co.th/,Bangkok,"Amusement park with rides, snow town and gardens",,pipeline-curated,,,
Cinema & Entertainment,Safari World Bangkok,https://www.safariworld.com/,Bangkok,Open zoo and marine park with shows,,pipeline-curated,,,
Cinema & Entertainment,SEA LIFE Bangkok Ocean World,https://www.sealifebangkok.com/,Bangkok,Southeast Asia's largest aquarium at Siam Paragon,,pipeline-curated,,,
Cinema & Entertainment,Madame Tussauds Bangkok,https://www.madametussauds.com/bangkok/,Bangkok,Wax museum with celebrity figures at Siam Discovery,,pipeline-curated,,,
Cinema & Entertainment,Rajadamnern Boxing Stadium,https://www.rajadamnern.com/,Bangkok,Thailand's oldest and most prestigious Muay Thai stadium,,pipeline-curated,,,
Cinema & Entertainment,Thailand Cultural Centre,https://www.tcc.or.th/,Bangkok,National performing arts and exhibition center,,pipeline-curated,,,
Cinema & Entertainment,Bangkok Art & Culture Centre,https://www.bacc.or.th/,Bangkok,Contemporary art museum and creative event space,,pipeline-curated,,,
