category,name,url,location,description,type,source,phone,email,address
Lifestyle & Experiences,Blue Voyage Thailand,https://bluevoyagethailand.com,"53 Sivatel Tower, Wireless Rd, Lumphini, Pathum Wan, Bangkok 10330",,,xlsx-tirak-vendors,+66 86 826 5656,reservations@bluevoyagethailand.com,"53 Sivatel Tower, Wireless Rd, Lumphini, Pathum Wan, Bangkok 10330"
Lifestyle & Experiences,BASE Bangkok,https://basebangkok.com,"Unit 2F-S11-01/2 Gaysorn Amarin, Phloen Chit Rd., Lumphini, Bangkok 10330",Combat sports & fitness in Bangkok,,xlsx-tirak-vendors,+66 2 107 2779,team@basebangkok.com,"Unit 2F-S11-01/2 Gaysorn Amarin, Phloen Chit Rd., Lumphini, Bangkok 10330"
Lifestyle & Experiences,Rajawongse Clothier,https://dress-for-success.com,"130 Sukhumvit Road (Next to Landmark hotel), Khlong Toei, Bangkok 10110",,,xlsx-tirak-vendors,+66 81 816 1198,victor@dress-for-success.com,"130 Sukhumvit Road (Next to Landmark hotel), Khlong Toei, Bangkok 10110"
Lifestyle & Experiences,Siam Seaplane,https://siamseaplane.com,"52/27 Soi Nana Nuea, Khlong Toei Nuea, Watthana, Bangkok 10110",,,xlsx-tirak-vendors,+66 2 002 6969,contact@siamseaplane.com,"52/27 Soi Nana Nuea, Khlong Toei Nuea, Watthana, Bangkok 10110"
Lifestyle & Experiences,Thailand Elite,https://thailandelite.com,"Bangkok, Thailand (Operates Nationwide)",,,xlsx-tirak-vendors,+66 2 352 3000,info@thailandelite.com,"Bangkok, Thailand (Operates Nationwide)"
Lifestyle & Experiences,Arena Sports Club Hua Hin,https://arenahuahin.com,"52/52 Petchkasem Road, Nong Gae, Hua Hin, Prachuap Khiri Khan 77110",,,xlsx-tirak-vendors,+66 32 909 633,info@arenahuahin.com,"52/52 Petchkasem Road, Nong Gae, Hua Hin, Prachuap Khiri Khan 77110"
Lifestyle & Experiences,Roots Coffee Roaster,https://rootsbkk.com,"33, 31 Bhiraj Tower at Sathon, South Sathon Road, Yannawa, Sathon, Bangkok 10120",,,xlsx-tirak-vendors,+66 82 091 6175,info@rootsbkk.com,"33, 31 Bhiraj Tower at Sathon, South Sathon Road, Yannawa, Sathon, Bangkok 10120"
Lifestyle & Experiences,Nature Boutique Hotel,https://naturehotel.info,"1/19 Vibhavadi Rangsit Road Soi 38 Lat Yao, Chatuchak, Bangkok 10900",,,xlsx-tirak-vendors,+66 81 104 8000,bbratchavipa@gmail.com,"1/19 Vibhavadi Rangsit Road Soi 38 Lat Yao, Chatuchak, Bangkok 10900"
Lifestyle & Experiences,The Hive Bangkok,https://thehive.co.th/,Bangkok,Premium coworking in Thonglor and Prakanong,,pipeline-curated,,,
Lifestyle & Experiences,Punspace Chiang Mai,https://www.punspace.com/,Chiang Mai,Top-rated coworking space for digital nomads,,pipeline-curated,,,
Lifestyle & Experiences,TCDC Bangkok,https://www.tcdc.or.th/,Bangkok,Thailand Creative & Design Center with coworking,,pipeline-curated,,,
Lifestyle & Experiences,KoHub Koh Lanta,https://www.kohub.org/,Koh Lanta,Island coworking and coliving for nomads,,pipeline-curated,,,
Lifestyle & Experiences,JustCo Thailand,https://www.justcoglobal.com/,Bangkok,Singapore-based premium coworking chain,,pipeline-curated,,,
Lifestyle & Experiences,The Great Room Bangkok,https://www.thegreatroomoffices.com/,Bangkok,Hospitality-inspired premium coworking,,pipeline-curated,,,
Lifestyle & Experiences,Regus Thailand,https://www.regus.com/en-th/,Multiple,Global flexible workspace chain with 20+ Thai locations,,pipeline-curated,,,
Lifestyle & Experiences,Launchpad Coworking,https://launchpad.co.th/,Bangkok,Startup-focused coworking in Sathorn,,pipeline-curated,,,
Lifestyle & Experiences,Fitness First Thailand,https://www.fitnessfirst.co.th/,Multiple,International gym chain with 20+ Thai locations,,pipeline-curated,,,
Lifestyle & Experiences,Fight District MMA,https://www.fightdistrict.com/,Bangkok,MMA and martial arts training center,,pipeline-curated,,,
Lifestyle & Experiences,IconSiam,https://www.iconsiam.com/,Bangkok,Landmark riverside mega-mall and lifestyle destination,,pipeline-curated,,,
Lifestyle & Experiences,Terminal 21,https://www.terminal21.co.th/,Bangkok,Airport-themed shopping mall on Sukhumvit,,pipeline-curated,,,
Lifestyle & Experiences,Chatuchak Weekend Market,https://www.chatuchakmarket.org/,Bangkok,"World's largest weekend market with 15,000+ stalls",,pipeline-curated,,,
Lifestyle & Experiences,Asiatique The Riverfront,https://www.asiatiquethailand.com/,Bangkok,Night bazaar and entertainment complex on Chao Phraya,,pipeline-curated,,,
Lifestyle & Experiences,Platinum Fashion Mall,https://www.platinumfashionmall.com/,Bangkok,Wholesale and retail fashion shopping center,,pipeline-curated,,,
Lifestyle & Experiences,MBK Center,https://www.mbk-center.co.th/,Bangkok,Iconic 8-floor shopping mall for electronics and fashion,,pipeline-curated,,,
Lifestyle & Experiences,Siam Discovery,https://www.siamdiscovery.co.th/,Bangkok,Lifestyle and concept store shopping experience,,pipeline-curated,,,
Lifestyle & Experiences,Thai Visa Centre,https://www.thaivisacentre.com/,Bangkok,Visa assistance and immigration services,,pipeline-curated,,,
Lifestyle & Experiences,Siam Legal International,https://www.siam-legal.com/,Bangkok,Legal and visa services for expats and travelers,,pipeline-curated,,,
Lifestyle & Experiences,Key Visa Thailand,https://www.keyvisa.com/,Bangkok,Work permit and visa consultancy,,pipeline-curated,,,
Lifestyle & Experiences,Iglu Coworking & Visa,https://iglu.net/,Multiple,"Coworking, visa, and company services for nomads",,pipeline-curated,,,
Lifestyle & Experiences,Duke Language School,https://www.dukelanguage.com/,Bangkok,Thai and English language courses for all levels,,pipeline-curated,,,
Lifestyle & Experiences,Pro Language School,https://www.prolanguage.co.th/,Bangkok,Thai language school with ED visa support,,pipeline-curated,,,
