category,name,url,location,description,type,source,phone,email,address
MICE & Event DMCs,MICE Thailand (Net),https://micethailand.net/,"Bangkok, Phuket",Leading MICE DMC for corporate groups and incentives,,,065-749-5221,,
MICE & Event DMCs,MICE Magic Thailand,https://www.micemagicthailand.com/,Bangkok,20+ years of corporate event management and DMC,,,+66988582388,sales@micemagicthailand.com,
MICE & Event DMCs,MC Planner (MICE Service),http://www.miceservice.com/,Bangkok,Award-winning DMC since 1997 for MICE programs,,,,,
MICE & Event DMCs,Phuket Event Company,https://www.phuketeventcompany.com/,"Phuket, Bangkok",MICE planner & events organiser across Thailand,,,+66 65 749 5221,info@phuketeventcompany.com,
MICE & Event DMCs,Royal Vacation DMC,https://royalvacationdmc.com/,Bangkok,Professional MICE and corporate travel arrangements,,,+6623470613,rsvn@royalvacationtours.com,
MICE & Event DMCs,ITC Travel MICE,https://www.itc.travel/mice,Bangkok,MICE industry specialist for Thailand,,,028320777,,
MICE & Event DMCs,MCI Thailand,https://www.wearemci.com/,Bangkok,Global engagement agency for events and meetings,,,,,
MICE & Event DMCs,Thailand Convention & Exhibition Bureau,https://www.businesseventsthailand.com/,Bangkok,National bureau promoting Thailand for MICE,,,"019                                

                                    2020                                

                                    2021",,
MICE & Event DMCs,CWT Meetings & Events Thailand,https://www.mycwt.com/,Bangkok,Corporate travel and event management,,,,,
MICE & Event DMCs,HIS Thailand,https://www.his-bkk.com/,Bangkok,Japanese travel company's Bangkok MICE services,,,02-022-0908,tha-yoyaku@his-world.com,
MICE & Event DMCs,Reed Tradex Thailand,https://www.reedtradex.com/,Bangkok,Exhibition and trade show organizer,,,,,
MICE & Event DMCs,Index Creative Village,https://www.indexcreativevillage.com/,Bangkok,Creative event production and brand experiences,,,"025
2024
2023",feedback@index-creative.com,
MICE & Event DMCs,IMPACT Exhibition Management,https://www.impact.co.th/,Bangkok,Exhibition centre and event management,,,082-737-7488,info@impact.co.th,
MICE & Event DMCs,Bangkok Convention Centre,https://www.bcc.co.th/,Bangkok,Premier convention centre and event services,,,,,
MICE & Event DMCs,BITEC Bangkok,https://www.bitec.co.th/,Bangkok,International trade & exhibition centre,,,02-726-1999,,
MICE & Event DMCs,Centara Convention Centre,https://www.centarahotelsresorts.com/,"Bangkok, Pattaya",Hotel chain with convention facilities,,,,,
MICE & Event DMCs,Avani+ Convention Hotel,https://www.avanihotels.com/,Bangkok,Convention and meeting hotel services,,,+66 2 365 9110,,
MICE & Event DMCs,Amari Events Thailand,https://www.amari.com/,"Bangkok, Phuket",Hotel group event and conference services,,,,,
MICE & Event DMCs,Anantara MICE,https://www.anantara.com/,Multiple,Luxury hotel group MICE services,,,000 800 040,,
MICE & Event DMCs,Banyan Tree MICE Bangkok,https://www.banyantree.com/,Bangkok,Luxury venue for corporate events,,,,,
MICE & Event DMCs,Dusit MICE,https://www.dusit.com/,Bangkok,Thai hospitality group with MICE capabilities,,,,,
MICE & Event DMCs,Sheraton Grande Bangkok Events,https://www.marriott.com/,Bangkok,5-star venue for corporate meetings and events,,,,,
MICE & Event DMCs,SO Bangkok Events,https://www.so-bangkok.com/,Bangkok,Boutique luxury venue for creative events,,,+66 2624 0000,h6835@so-hotels.com,"2 North Sathorn Road, Bangrak10500 Bangkok, Thailand"
MICE & Event DMCs,Event Pop Thailand,https://www.eventpop.me/,Bangkok,Event ticketing and management platform,,,,,
MICE & Event DMCs,Eventbrite Thailand,https://www.eventbrite.com/,Bangkok,Event creation and ticket management,,,,,
