category,name,url,location,description,type,source,phone,email,address
Nightlife & Entertainment,Illuzion Club Phuket,https://illuzionphuket.com,"31 Thanon Bangla, Pa Tong, Kathu District, Phuket 83150",,,xlsx-tirak-vendors,+66 64 454 4985,info@illuzionphuket.com,"31 Thanon Bangla, Pa Tong, Kathu District, Phuket 83150"
Nightlife & Entertainment,Mustache Bangkok,https://mustachebangkok.com,"Decho Rd, Suriyawong, Bang Rak, Bangkok 10500",,,xlsx-tirak-vendors,+66 63 017 8555,info@mustachebangkok.com,"Decho Rd, Suriyawong, Bang Rak, Bangkok 10500"
Nightlife & Entertainment,The Rock Pub Bangkok,https://therockpub-bangkok.com,"93/26-28 Hollywood Street Building, Phaya Thai Road, Ratchathewi, Bangkok 10400",,,xlsx-tirak-vendors,+66 99 191 5666,info@therockpub-bangkok.com,"93/26-28 Hollywood Street Building, Phaya Thai Road, Ratchathewi, Bangkok 10400"
Nightlife & Entertainment,Fira Beach Club,https://firaphuket.com,"228/6-7 Khok Tanod Road, Karon, Phuket 83100",,,xlsx-tirak-vendors,+66 92 958 8621,reservations@firaphuket.com,"228/6-7 Khok Tanod Road, Karon, Phuket 83100"
Nightlife & Entertainment,Hard Rock Cafe Bangkok,https://cafe.hardrock.com,"518 Maneeya Center Building, Pathumwan, Bangkok 10330",,,xlsx-tirak-vendors,+66 2 254 2594,marketing@hardrockcafe-bangkok.com,"518 Maneeya Center Building, Pathumwan, Bangkok 10330"
Nightlife & Entertainment,BOA Club Phuket,https://boaclubphuket.com,"Soi Gonzo Bangla Road, Patong, Kathu District, Phuket 83150",,,xlsx-tirak-vendors,+66 63 109 2999,info@boaclubphuket.com,"Soi Gonzo Bangla Road, Patong, Kathu District, Phuket 83150"
Nightlife & Entertainment,Black Cabin Bar,https://facebook.com/blackcabinbar,"466, 16 Thong Lo, Khlong Tan Nuea, Watthana, Bangkok 10110",,,xlsx-tirak-vendors,+66 81 599 9365,info@blackcabinbar.com,"466, 16 Thong Lo, Khlong Tan Nuea, Watthana, Bangkok 10110"
Nightlife & Entertainment,Aces Nightclub,https://acesnightclub.com,"1st floor, Ambassador Hotel, 171 Soi Sukhumvit 11, Watthana, Bangkok 10110",,,xlsx-tirak-vendors,+66 95 981 2089,info@acesnightclub.com,"1st floor, Ambassador Hotel, 171 Soi Sukhumvit 11, Watthana, Bangkok 10110"
Nightlife & Entertainment,Elite Thonglor,https://elitethonglor13.com,"16 Thong Lo 13 Alley, Khlong Tan Nuea, Watthana, Bangkok 10110",,,xlsx-tirak-vendors,+66 95 487 5904,info@elitebkk.com,"16 Thong Lo 13 Alley, Khlong Tan Nuea, Watthana, Bangkok 10110"
Nightlife & Entertainment,Green Room Bangkok,https://greenroombangkok.com,"Sukhumvit Soi 7/1 Nana, Bangkok 10110",,,xlsx-tirak-vendors,+66 80 993 2299,info@greenroombangkok.com,"Sukhumvit Soi 7/1 Nana, Bangkok 10110"
Nightlife & Entertainment,Sky Bar at Lebua,https://lebua.com/sky-bar/,Bangkok,Iconic 64th-floor rooftop bar featured in The Hangover II,,pipeline-curated,,,
Nightlife & Entertainment,Octave Rooftop Lounge & Bar,https://www.marriott.com/hotels/hotel-information/restaurant/bkkms-bangkok-marriott-hotel-sukhumvit/,Bangkok,360-degree rooftop bar on 45th-49th floors of Marriott Sukhumvit,,pipeline-curated,,,
Nightlife & Entertainment,Vertigo and Moon Bar,https://www.banyantree.com/thailand/bangkok,Bangkok,"Open-air rooftop bar atop Banyan Tree Bangkok, 61st floor",,pipeline-curated,,,
Nightlife & Entertainment,Maggie Choo's,https://www.maggiechoos.com/,Bangkok,Underground speakeasy bar beneath Novotel Silom,,pipeline-curated,,,
Nightlife & Entertainment,Iron Fairies,https://www.theironfairies.com/,Bangkok,Gothic fairy-tale themed cocktail bar in Thonglor,,pipeline-curated,,,
Nightlife & Entertainment,Havana Social,https://www.havanasocialbkk.com/,Bangkok,Hidden Cuban-themed speakeasy in Sukhumvit,,pipeline-curated,,,
Nightlife & Entertainment,Sing Sing Theater,https://www.singsingtheater.com/,Bangkok,1930s Shanghai-inspired nightclub and performance venue,,pipeline-curated,,,
Nightlife & Entertainment,Sugar Club Bangkok,https://www.sugarclub-bangkok.com/,Bangkok,Multi-level nightclub with live DJs on Sukhumvit Soi 11,,pipeline-curated,,,
Nightlife & Entertainment,Onyx Bangkok,https://www.onyxbangkok.com/,Bangkok,Premier nightclub hosting international DJs at RCA,,pipeline-curated,,,
Nightlife & Entertainment,Route 66 Club,https://www.route66club.com/,Bangkok,Legendary multi-zone nightclub at RCA,,pipeline-curated,,,
Nightlife & Entertainment,Levels Club & Lounge,https://www.levelsclub.com/,Bangkok,Upscale nightclub on Sukhumvit Soi 11,,pipeline-curated,,,
Nightlife & Entertainment,Catch Beach Club Phuket,https://www.catchbeachclub.com/,Phuket,Premier beach club on Bangtao Beach,,pipeline-curated,,,
Nightlife & Entertainment,Cafe Del Mar Phuket,https://www.cafedelmarphuket.com/,Phuket,Ibiza-branded beach club in Kamala,,pipeline-curated,,,
Nightlife & Entertainment,Xana Beach Club,https://www.xanabeachclub.com/,Phuket,Angsana resort beach club on Bangtao,,pipeline-curated,,,
Nightlife & Entertainment,Ark Bar Beach Club,https://www.ark-bar.com/,Koh Samui,Famous beach club on Chaweng Beach,,pipeline-curated,,,
Nightlife & Entertainment,Full Moon Party Official,https://www.fullmoonparty-thailand.com/,Koh Phangan,World-famous monthly beach rave on Haad Rin,,pipeline-curated,,,
Nightlife & Entertainment,Calypso Cabaret,https://www.calypsocabaret.com/,Bangkok,Famous cabaret show at Asiatique The Riverfront,,pipeline-curated,,,
Nightlife & Entertainment,Saxophone Pub & Restaurant,https://www.saxophonepub.com/,Bangkok,Live jazz and blues institution since 1987,,pipeline-curated,,,
Nightlife & Entertainment,Brown Sugar Jazz Boutique,https://www.brownsugarbangkok.com/,Bangkok,Bangkok's oldest jazz bar since 1985,,pipeline-curated,,,
Nightlife & Entertainment,Walking Street Pattaya,https://www.walkingstreetpattaya.com/,Pattaya,"Famous nightlife strip with clubs, bars and shows",,pipeline-curated,,,
Nightlife & Entertainment,Ku De Ta Bangkok,https://www.kudeta.com/bangkok/,Bangkok,Rooftop restaurant bar and club at Sathorn Square,,pipeline-curated,,,
Nightlife & Entertainment,Bar Us,https://www.us-bar.com/,Bangkok,,,bkmagazine-scraped,,,
Nightlife & Entertainment,Mahaniyom,https://nightlifethailand.com/venues/mahaniyom-cocktail-bar/,Bangkok,,,bkmagazine-scraped,,,
Nightlife & Entertainment,Opium,https://www.bkmagazine.com/nightlife/bangkoks-top-10-cocktail-bars-your-next-big-night-out/,Bangkok,Bangkok bar/nightlife venue featured in BK Magazine,,bkmagazine-scraped,,,
Nightlife & Entertainment,BKK Social Club,https://www.bkmagazine.com/nightlife/15-best-live-music-bars-bangkok-to-check-out-2025/,Bangkok,Bangkok bar/nightlife venue featured in BK Magazine,,bkmagazine-scraped,,,
Nightlife & Entertainment,Noise House Lat Phrao,https://www.bkmagazine.com/nightlife/bangkoks-best-bars-clubs/,Bangkok,Bangkok bar/nightlife venue featured in BK Magazine,,bkmagazine-scraped,,,
Nightlife & Entertainment,Fatty’s Bar and Diner,https://www.bkmagazine.com/nightlife/cocktails/bangkoks-best-gin-bars/,Bangkok,Bangkok bar/nightlife venue featured in BK Magazine,,bkmagazine-scraped,,,
Nightlife & Entertainment,Dope & Dirty,https://www.siam2nite.com/en/locations/clubs/dope-dirty,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,Max Club Bangkok,https://www.siam2nite.com/en/locations/clubs/max-club-bangkok,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,Baccarat,https://www.siam2nite.com/en/locations/clubs/baccarat,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,Bar Rouge Bangkok,https://www.siam2nite.com/en/locations/clubs/bar-rouge-bangkok,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,MIXX Bangkok,https://www.siam2nite.com/en/locations/clubs/mixx-bangkok,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,Space Plus Bangkok,https://www.siam2nite.com/en/locations/clubs/space-plus-bangkok,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,The Capital Bangkok,https://www.siam2nite.com/en/locations/clubs/the-capital-bangkok,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,The Club Khaosan,https://www.siam2nite.com/en/locations/clubs/the-club-khaosan,Bangkok,,,siam2nite-scraped,,,
Nightlife & Entertainment,lebua Hotels & Resorts,https://lebua.com/restaurants/sky/,Bangkok,Nightlife venue in Thailand,,ddg-verified,,,
Nightlife & Entertainment,Sky Bar by lebua,https://www.therooftopguide.com/rooftop-bars-in-bangkok/sky-bar-lebua-at-state-tower.html,Bangkok,Nightlife venue in Thailand,,ddg-verified,,,
Nightlife & Entertainment,Octave Rooftop Bar,https://www.marriott.com/en-us/hotels/bkkms-bangkok-marriott-hotel-sukhumvit/dining/,Bangkok,Rooftop bar at Bangkok Marriott Sukhumvit,,ddg-verified,,,
Nightlife & Entertainment,Vertigo & Moon Bar,https://www.bfrfrr.com/vertigo-and-moon-bar/,Bangkok,Rooftop bar at Banyan Tree Bangkok,,ddg-verified,,,
Nightlife & Entertainment,Ce La Vi Bangkok,https://www.celavi.com/en/bangkok/,Bangkok,Rooftop bar and club at MahaNakhon,,ddg-verified,,,
Nightlife & Entertainment,DEMO Bangkok,https://www.demobangkok.com/,Bangkok,"Nightclub in Thonglor, Bangkok",,ddg-verified,,,
