category,name,url,location,description,type,source,phone,email,address
Transport & Transfer Services,Limousine.in.th,https://limousine.in.th/,Bangkok,"Airport transfer service to Pattaya, Ayutthaya, Hua Hin & more",,,+668-007-007,info@limousine.in.th,
Transport & Transfer Services,Elife Limo,https://elifelimo.com/,Bangkok,"Professional car service with app, 24/7 availability",,,00 814 4204,support@elifelimo.com,
Transport & Transfer Services,Oriental Escape Transfer,https://www.orientalescape.com/transfer/thailand,Bangkok,"World Travel Award winner, premium transport since 2018",,,091-007-0007,contact@orientalescape.com,"No.11, Soi Borommaratchachonnani 73, Borommaratchachonnani Road, Chim Phli, Taling Chan"
Transport & Transfer Services,Blacklane Thailand,https://www.blacklane.com/en/airport-transfer-bangkok/,Bangkok,Luxury airport transfer and chauffeur service,,,,,
Transport & Transfer Services,First Class Bangkok,https://www.firstclassbangkok.com/,Bangkok,Airport limousine and VIP ground services,,,0-1255-5301,info@firstclassbangkok.com,
Transport & Transfer Services,GB Limousine,https://gblimousine.net/,Bangkok,Private driver and airport VIP ground service,,,+66 2 821 5991,,
Transport & Transfer Services,Thai Taxis,https://www.thaitaxis.com/,"Bangkok, Pattaya",Reliable taxi and private car rental service,,,,,
Transport & Transfer Services,Thai Limo,https://www.thailimo.com/,Bangkok,Luxury sedan and van rental with driver,,,,,
Transport & Transfer Services,AirportTransfer.com Thailand,https://www.airporttransfer.com/,Multiple,Online airport transfer booking platform,,,,,
Transport & Transfer Services,Klook Thailand Transfers,https://www.klook.com/en-US/airport-transfers/city/4-bangkok-airport/,Bangkok,Platform for booking private and shared transfers,,,,,
Transport & Transfer Services,12Go Asia,https://12go.asia/,Multiple,"SE Asia transport booking (trains, buses, ferries, flights)",,,,,
Transport & Transfer Services,BusOnlineTicket Thailand,https://www.busonlineticket.co.th/,Multiple,Bus ticket booking across Thailand,,,09055580013,sales@busonlineticket.co.th,
Transport & Transfer Services,Thai Railway Booking,https://www.thairailwayticket.com/,National,Train ticket booking service,,,,,
Transport & Transfer Services,Bolt Thailand,https://bolt.eu/,"Bangkok, Pattaya",Ride-hailing app with competitive pricing,,,,,
Transport & Transfer Services,Grab Thailand,https://www.grab.com/th/,Multiple,SE Asia's leading ride-hailing platform,,,,,
Transport & Transfer Services,InDrive Thailand,https://indrive.com/,Multiple,Negotiable fare ride-hailing,,,,,
Transport & Transfer Services,Lomprayah,https://www.lomprayah.com/,Gulf Islands,"Ferry and catamaran service to Koh Samui, Koh Tao, Koh Phangan",,,077950700,customercare@lomprayah.com,
Transport & Transfer Services,Seatran Ferry,https://www.seatranferry.com/,Gulf Islands,Ferry services connecting gulf islands,,,084-0654455,,
Transport & Transfer Services,Andaman Wave Master,https://andamanwavemaster.com/,"Phuket, Krabi",Speedboat and ferry Andaman coast,,,+66 76 614 135,,
Transport & Transfer Services,Tigerline Ferry,https://www.tigerlinetravel.com/,Andaman Coast,Ferry and speedboat island connections,,,,,
Transport & Transfer Services,Nok Air,https://www.nokair.com/,National,Low-cost domestic airline,,,,,
Transport & Transfer Services,Thai Lion Air,https://www.lionairthai.com/,National,Low-cost domestic and regional airline,,,02 529 9839,,
Transport & Transfer Services,Bangkok Airways,https://www.bangkokair.com/,National,"Boutique airline serving unique routes (Samui, Sukhothai)",,,,,
Transport & Transfer Services,Thai Vietjet,https://www.vietjetair.com/,National,Low-cost carrier for domestic routes,,,,,
Transport & Transfer Services,AirAsia Thailand,https://www.airasia.com/,National,Major low-cost carrier,,,,,
Transport & Transfer Services,Phuket Ferry,https://www.phuketferry.com/,Phuket,Ferry connections from Phuket,,,,,
Transport & Transfer Services,Railay Beach Longtail,https://www.railaybeach.com/,Krabi,Local longtail boat services,,,,,
Transport & Transfer Services,Bangkok River Taxi,https://www.chaophrayaexpressboat.com/,Bangkok,Chao Phraya river boat service,,,086-331-4215,info@chaophrayaexpressboat.com,
Transport & Transfer Services,BTS Skytrain,https://www.bts.co.th/,Bangkok,Bangkok mass transit system,,,0 2617 6000,,
Transport & Transfer Services,MRT Bangkok,https://www.mrta.co.th/,Bangkok,Bangkok metro system,,,0 2716 4000,,
Transport & Transfer Services,Airport Rail Link,https://www.srtet.co.th/,Bangkok,Suvarnabhumi airport rail connection,,,,cus.redline@srtet.co.th,
Transport & Transfer Services,Phuket Smart Bus,https://www.phuketsmartbus.com/,Phuket,Airport to beaches shuttle service,,,086-306-1257,info@phuketsmartbus.com,
Transport & Transfer Services,Songthaew Chiang Mai,https://www.chiangmaitraveller.com/,Chiang Mai,Local red truck shared transport,,,,,
Transport & Transfer Services,Thai Rent A Car,https://www.thairentacar.com/,Multiple,Car rental with self-drive option,,,02-318-8888,,
Transport & Transfer Services,Budget Car Thailand,https://www.budget.co.th/,Multiple,International car rental chain,,,,,
Transport & Transfer Services,Hertz Thailand,https://www.hertz.co.th/,Multiple,Global car rental with Thai fleet,,,,,
Transport & Transfer Services,Sixt Thailand,https://www.sixt.co.th/,Multiple,Premium car rental service,,,,,
Transport & Transfer Services,Nakhonchai Air (NCA),https://www.nakhonchaiair.com/,National,Thailand's premier VIP long-distance bus service,,pipeline-curated,,,
Transport & Transfer Services,Phuripat Transport 88,https://www.thailandferrybooking.com/ferry/operator/-phuripat-transport-88,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,35 Group Pattaya,https://www.thailandferrybooking.com/ferry/operator/35-group-pattaya-,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Adang Sea Tour,https://www.thailandferrybooking.com/ferry/operator/adang-sea-tour,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Andaman Sea Tour & Transport,https://www.thailandferrybooking.com/ferry/operator/andaman-sea-tour-&-transport,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Andaman Wave Express,https://www.thailandferrybooking.com/ferry/operator/andaman-wave-express,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Ao Nang Travel And Tour,https://www.thailandferrybooking.com/ferry/operator/ao-nang-travel-and-tour,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Arisa Speed Boat Group,https://www.thailandferrybooking.com/ferry/operator/arisa-speed-boat-group,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Arunsiri Travel & Tour,https://www.thailandferrybooking.com/ferry/operator/arunsiri-travel-&-tour,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Bell Travel Services,https://www.thailandferrybooking.com/ferry/operator/bell-travel-services,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Boonsiri,https://www.thailandferrybooking.com/ferry/operator/boonsiri-,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Bundhaya Speed Boat,https://www.thailandferrybooking.com/ferry/operator/bundhaya-speed-boat,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
Transport & Transfer Services,Chao Koh Group,https://www.thailandferrybooking.com/ferry/operator/chao-koh-group,Thailand,Transport operator listed on thailandferrybooking.com,,thailandferrybooking-scraped,,,
